seed,policy_name,transactions_total,transactions_eligible,transactions_stopped,retry_attempts,recoveries,recovery_rate_pct,gross_recovered_revenue,total_retry_cost,net_revenue,net_revenue_per_transaction,net_revenue_per_eligible_transaction,average_attempts_per_transaction,evaluation_version,configuration_hash,arm_count_1hr,arm_count_6hr,arm_count_1d,arm_count_3d,arm_count_7d
503,Oracle Upper Bound,3000,2750,250,5770,2398,87.2,9880926.51,57700.0,9823226.51,3274.41,3572.08,2.1,Phase1_v1.0,0580358a30ba,989,287,2045,2449,0
604,Fixed Schedule,3000,3000,0,7688,2008,66.93,8746804.56,76880.0,8669924.56,2889.97,2889.97,2.56,Phase1_v1.0,0580358a30ba,0,0,3000,2113,2575
604,Best Static Arm,3000,3000,0,7211,2124,70.8,9405816.6,72110.0,9333706.6,3111.24,3111.24,2.4,Phase1_v1.0,0580358a30ba,0,0,0,7211,0
604,Contextual Heuristic,3000,3000,0,6458,2297,76.57,9325962.94,64580.0,9261382.94,3087.13,3087.13,2.15,Phase1_v1.0,0580358a30ba,958,811,1780,2909,0
604,RecoverFlow LinUCB,3000,3000,0,6200,2368,78.93,9812870.88,62000.0,9750870.88,3250.29,3250.29,2.07,Phase1_v1.0,0580358a30ba,607,2035,702,2666,190
604,Oracle Upper Bound,3000,2773,227,5755,2419,87.23,9965478.68,57550.0,9907928.68,3302.64,3573.0,2.08,Phase1_v1.0,0580358a30ba,980,338,2013,2424,0
705,Fixed Schedule,3000,3000,0,7675,2005,66.83,8649569.62,76750.0,8572819.62,2857.61,2857.61,2.56,Phase1_v1.0,0580358a30ba,0,0,3000,2098,2577
705,Best Static Arm,3000,3000,0,7216,2111,70.37,9164717.93,72160.0,9092557.93,3030.85,3030.85,2.41,Phase1_v1.0,0580358a30ba,0,0,0,7216,0
705,Contextual Heuristic,3000,3000,0,6477,2276,75.87,9070900.13,64770.0,9006130.13,3002.04,3002.04,2.16,Phase1_v1.0,0580358a30ba,971,804,1707,2995,0
705,RecoverFlow LinUCB,3000,3000,0,6341,2280,76.0,9049237.82,63410.0,8985827.82,2995.28,2995.28,2.11,Phase1_v1.0,0580358a30ba,799,1690,1695,1964,193
705,Oracle Upper Bound,3000,2748,252,5773,2394,87.12,9702388.3,57730.0,9644658.3,3214.89,3509.7,2.1,Phase1_v1.0,0580358a30ba,969,299,1997,2508,0
806,Fixed Schedule,3000,3000,0,7508,2042,68.07,8891263.9,75080.0,8816183.9,2938.73,2938.73,2.5,Phase1_v1.0,0580358a30ba,0,0,3000,2043,2465
806,Best Static Arm,3000,3000,0,7230,2121,70.7,9350546.97,72300.0,9278246.97,3092.75,3092.75,2.41,Phase1_v1.0,0580358a30ba,0,0,0,7230,0
806,Contextual Heuristic,3000,3000,0,6393,2304,76.8,9349749.18,63930.0,9285819.18,3095.27,3095.27,2.13,Phase1_v1.0,0580358a30ba,971,832,1590,3000,0
806,RecoverFlow LinUCB,3000,3000,0,6218,2304,76.8,9447474.79,62180.0,9385294.79,3128.43,3128.43,2.07,Phase1_v1.0,0580358a30ba,97,2189,874,2425,633
806,Oracle Upper Bound,3000,2742,258,5793,2391,87.2,9824105.82,57930.0,9766175.82,3255.39,3561.7,2.11,Phase1_v1.0,0580358a30ba,953,336,2015,2489,0
907,Fixed Schedule,3000,3000,0,7587,2015,67.17,9221007.2,75870.0,9145137.2,3048.38,3048.38,2.53,Phase1_v1.0,0580358a30ba,0,0,3000,2079,2508
907,Best Static Arm,3000,3000,0,7118,2095,69.83,9750823.82,71180.0,9679643.82,3226.55,3226.55,2.37,Phase1_v1.0,0580358a30ba,0,0,0,7118,0
907,Contextual Heuristic,3000,3000,0,6300,2323,77.43,10019927.2,63000.0,9956927.2,3318.98,3318.98,2.1,Phase1_v1.0,0580358a30ba,945,755,1598,3002,0
907,RecoverFlow LinUCB,3000,3000,0,5960,2360,78.67,10292907.07,59600.0,10233307.07,3411.1,3411.1,1.99,Phase1_v1.0,0580358a30ba,726,1746,322,2973,193
907,Oracle Upper Bound,3000,2762,238,5648,2410,87.26,10425701.55,56480.0,10369221.55,3456.41,3754.24,2.04,Phase1_v1.0,0580358a30ba,934,335,1871,2508,0
